bestseller_rank,rank_delta,trend_score,niche_score,product_id,title,brand,seller_name,price,original_price,price_delta_percent,stock_status,sales_signal,rating,review_count,review_delta,question_count,campaigns,delivery_summary,detail_status,detail_age_days,url
23,,79.5,68,930355531,Egş DERMA delete ATKUYRUK ÖZLÜ ŞAMPUAN Dökülmelere Karşı Hızlı Sac Uzatan Onarcı Karışım,Egş DERMA delete,Egş DERMA delete,575,,,InStock,Son 3 günde 1B+ ürün satıldı!,3.9,1541,,1123,"[""Kargo Bedava""]",13 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/egs-derma-delete/atkuyruk-ozlu-sampuan-dokulmelere-karsi-hizli-sac-uzatan-onarci-karisim-p-930355531?boutiqueId=61&merchantId=237664
24,,78.9,66.1,840397483,Monalisa Kadın Büyük Boy Siyah Fiyonk Toka (11Cm),Monalisa,Monalisa Toka,7.81,,,InStock,Son 3 günde 1B+ ürün satıldı!,3.8,2276,,188,"[""Kargo Bedava""]",4 saat 21 dakika içinde sipariş verirsen en geç bugün kargoda!,refreshed,0,https://www.trendyol.com/monalisa/kadin-buyuk-boy-siyah-fiyonk-toka-11cm-p-840397483?boutiqueId=61&merchantId=496056
25,-2,77.3,65.2,31321051,Bioblas Keratin & Kolajen Onarıcı Dolgunlaştırıcı Saç Bakım Şampuanı 360 Ml İnce ve Yıpranmış Saçlar,Bioblas,Bioblas,105.55,,-39.3,InStock,Son 3 günde 1B+ ürün satıldı!,4.6,2572,5,434,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/bioblas/keratin-kolajen-onarici-dolgunlastirici-sac-bakim-sampuani-360-ml-ince-ve-yipranmis-saclar-p-31321051?boutiqueId=61&merchantId=654443
74,28,74.3,23.2,354099620,Mad Parfüm Mad W212 Selective 50 ml Kadın Parfüm,Mad Parfüm,MAD PARFÜM,299.99,599.99,0,InStock,Son 3 günde 250+ ürün satıldı!,4,255,2,177,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/mad-parfum/mad-w212-selective-50-ml-kadin-parfum-p-354099620?boutiqueId=61&merchantId=674296
27,-5,74,63.5,933822008,Tutku Keyal 12' li Perla Bikini Külot Kombin 0599,Tutku,GLR çamaşır,407,,-0.2,InStock,Son 3 günde 1B+ ürün satıldı!,4.2,,0,984,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı""]",13 saat 21 dakika içinde sipariş verirsen en geç yarın kargoda!,refreshed,0,https://www.trendyol.com/tutku/keyal-12-li-perla-bikini-kulot-kombin-0599-p-933822008?boutiqueId=61&merchantId=1239156
26,26,73.3,66.7,1815598,"Restorex Speed Strong Saç Dökülmesine Karşı Şampuan 500 ml - Sarmaşık Özlü, Sağlıklı Uzama, Dökülme Karşıtı",Restorex,Bioblas,105.09,,0,InStock,Son 3 günde 1B+ ürün satıldı!,4.4,1452,1,450,"[""Sepette %15 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/restorex/speed-strong-sac-dokulmesine-karsi-sampuan-500-ml-sarmasik-ozlu-saglikli-uzama-dokulme-karsiti-p-1815598?boutiqueId=61&merchantId=654443
5,-1,70,,98844337,EPİFY Epify Tüy Dökücü Krem,EPİFY,Epify,549,,0,InStock,Son 3 günde 2B+ ürün satıldı!,,,-19247,,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/epify/epify-tuy-dokucu-krem-p-98844337?boutiqueId=61&merchantId=1125806
28,-7,63.5,71.5,1172140083,Wega Moda Yazlık Şık Kadın Asimetrik Transparan Dökümlü Triko Pelerin Panço - Ekru,Wega Moda,Wega Moda,276.94,,-19.5,InStock,Son 3 günde 1B+ ürün satıldı!,4.2,,0,31,"[""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/wega-moda/yazlik-sik-kadin-asimetrik-transparan-dokumlu-triko-pelerin-panco-ekru-p-1172140083?boutiqueId=61&merchantId=970069
29,,59.3,38.2,794013346,Kerem Giyim Kadın Lotus (DOLGUSUZ) Balensiz Toparlayıcı 3'Lü Sütyen Takımı,Kerem Giyim,HİLKEM,1499.99,,,InStock,Son 3 günde 500+ ürün satıldı!,3.7,,,558,"[""Kargo Bedava"",""Son 10 Günün En Düşük Fiyatı"",""Süper Fırsat Ürünü"",""Trendyol Plus'a Özel""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/kerem-giyim/kadin-lotus-dolgusuz-balensiz-toparlayici-3-lu-sutyen-takimi-p-794013346?boutiqueId=61&merchantId=277300
49,34,59.1,13.9,866696225,GRIMELANGE Lagertha Kadın %100 Organik Pamuklu Kalın Dokulu Oversize Fit Yuvarlak Yakalı Siyah T-shirt,GRIMELANGE,GRIMELANGE,265,353.34,0,InStock,Son 3 günde 250+ ürün satıldı!,4.5,,0,345,"[""Sepette %25 İndirim"",""Kargo Bedava""]",Tahmini Teslim:,refreshed,0,https://www.trendyol.com/grimelange/lagertha-kadin-100-organik-pamuklu-kalin-dokulu-oversize-fit-yuvarlak-yakali-siyah-t-shirt-p-866696225?boutiqueId=61&merchantId=165724
